Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","C_1206_3216Metric",282.557200,-178.582500,180.000000,bottom
"C3","20pF","C_0805_2012Metric",414.311400,-257.158800,0.000000,bottom
"C7","20pF","C_0805_2012Metric",404.630700,-257.158800,180.000000,bottom
"C8","100nF","C_0805_2012Metric",90.481800,-167.470700,90.000000,bottom
"C9","100nF","C_0805_2012Metric",87.307000,-167.470700,270.000000,bottom
"C10","100nF","C_0805_2012Metric",447.646800,-167.470700,90.000000,bottom
"C11","100nF","C_0805_2012Metric",444.472000,-167.470700,270.000000,bottom
"C13","100nF","C_0805_2012Metric",426.216900,-230.966700,90.000000,bottom
"C18","100nF","C_0805_2012Metric",413.517700,-252.396600,90.000000,bottom
"C19","100nF","C_0805_2012Metric",401.612200,-241.284800,270.000000,bottom
"C20","100nF","C_0805_2012Metric",415.105100,-238.903700,135.000000,bottom
"C21","10uF","C_0805_2012Metric",415.898800,-252.396600,90.000000,bottom
"C22","100nF","C_0805_2012Metric",415.898800,-248.428100,45.000000,bottom
"C23","10nF","C_0805_2012Metric",405.580700,-253.984000,90.000000,bottom
"C24","1uF","C_0805_2012Metric",403.278400,-253.984000,270.000000,bottom
"C43","1uF","C_0805_2012Metric",404.787000,-234.935200,270.000000,bottom
"C44","1uF","C_0805_2012Metric",415.105100,-230.966700,0.000000,bottom
"D2","Red","LED_0805_2012Metric",303.987100,-161.914800,180.000000,bottom
"D3","SOD-123","D_SOD-123",96.037700,-174.614000,270.000000,bottom
"D4","SOD-123","D_SOD-123",438.916100,-176.995100,0.000000,bottom
"D11","Red","LED_0805_2012Metric",417.486200,-227.791900,270.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",290.494200,-178.582500,0.000000,bottom
"F8","500mA","Fuse_1206_3216Metric",407.168100,-231.760400,90.000000,bottom
"FB5","60 @ 100 MHz","L_0805_2012Metric",315.892600,-160.327400,180.000000,bottom
"FB15","60 @ 100 MHz","L_0805_2012Metric",403.993300,-231.760400,180.000000,bottom
"KD1","SOD-123","D_SOD-123",120.642400,-168.264400,90.000000,bottom
"KD2","SOD-123","D_SOD-123",158.740000,-168.264400,90.000000,bottom
"KD3","SOD-123","D_SOD-123",177.788800,-168.264400,90.000000,bottom
"KD4","SOD-123","D_SOD-123",196.837600,-168.264400,90.000000,bottom
"KD5","SOD-123","D_SOD-123",215.886400,-168.264400,90.000000,bottom
"KD6","SOD-123","D_SOD-123",244.459600,-168.264400,90.000000,bottom
"KD7","SOD-123","D_SOD-123",263.508400,-168.264400,90.000000,bottom
"KD8","SOD-123","D_SOD-123",282.557200,-168.264400,90.000000,bottom
"KD9","SOD-123","D_SOD-123",301.606000,-168.264400,90.000000,bottom
"KD10","SOD-123","D_SOD-123",330.179200,-168.264400,90.000000,bottom
"KD11","SOD-123","D_SOD-123",349.228000,-168.264400,90.000000,bottom
"KD12","SOD-123","D_SOD-123",368.276800,-168.264400,90.000000,bottom
"KD13","SOD-123","D_SOD-123",387.325600,-168.264400,90.000000,bottom
"KD14","SOD-123","D_SOD-123",415.898800,-168.264400,90.000000,bottom
"KD15","SOD-123","D_SOD-123",96.831400,-196.775000,90.000000,bottom
"KD16","SOD-123","D_SOD-123",120.642400,-196.837600,90.000000,bottom
"KD17","SOD-123","D_SOD-123",139.691200,-196.837600,90.000000,bottom
"KD18","SOD-123","D_SOD-123",158.740000,-196.837600,90.000000,bottom
"KD19","SOD-123","D_SOD-123",177.788800,-196.837600,90.000000,bottom
"KD20","SOD-123","D_SOD-123",196.837600,-196.837600,90.000000,bottom
"KD21","SOD-123","D_SOD-123",215.886400,-196.837600,90.000000,bottom
"KD22","SOD-123","D_SOD-123",234.935200,-196.837600,90.000000,bottom
"KD23","SOD-123","D_SOD-123",253.984000,-196.837600,90.000000,bottom
"KD24","SOD-123","D_SOD-123",273.032800,-196.837600,90.000000,bottom
"KD25","SOD-123","D_SOD-123",292.081600,-196.837600,90.000000,bottom
"KD26","SOD-123","D_SOD-123",311.130400,-196.837600,90.000000,bottom
"KD27","SOD-123","D_SOD-123",330.179200,-196.837600,90.000000,bottom
"KD28","SOD-123","D_SOD-123",349.228000,-196.837600,90.000000,bottom
"KD29","SOD-123","D_SOD-123",377.801200,-196.837600,90.000000,bottom
"KD30","SOD-123","D_SOD-123",415.898800,-196.837600,90.000000,bottom
"KD31","SOD-123","D_SOD-123",434.947600,-196.837600,90.000000,bottom
"KD32","SOD-123","D_SOD-123",453.996400,-196.837600,90.000000,bottom
"KD33","SOD-123","D_SOD-123",96.831400,-215.823800,90.000000,bottom
"KD34","SOD-123","D_SOD-123",125.404600,-215.886400,90.000000,bottom
"KD35","SOD-123","D_SOD-123",149.215600,-215.886400,90.000000,bottom
"KD36","SOD-123","D_SOD-123",168.264400,-215.886400,90.000000,bottom
"KD37","SOD-123","D_SOD-123",187.313200,-215.886400,90.000000,bottom
"KD38","SOD-123","D_SOD-123",206.362000,-215.886400,90.000000,bottom
"KD39","SOD-123","D_SOD-123",225.410800,-215.886400,90.000000,bottom
"KD40","SOD-123","D_SOD-123",244.459600,-215.886400,90.000000,bottom
"KD41","SOD-123","D_SOD-123",263.508400,-215.886400,90.000000,bottom
"KD42","SOD-123","D_SOD-123",282.557200,-215.886400,90.000000,bottom
"KD43","SOD-123","D_SOD-123",301.606000,-215.886400,90.000000,bottom
"KD44","SOD-123","D_SOD-123",320.654800,-215.886400,90.000000,bottom
"KD45","SOD-123","D_SOD-123",339.703600,-215.886400,90.000000,bottom
"KD46","SOD-123","D_SOD-123",358.752400,-215.886400,90.000000,bottom
"KD47","SOD-123","D_SOD-123",382.563400,-215.886400,90.000000,bottom
"KD48","SOD-123","D_SOD-123",415.898800,-215.886400,90.000000,bottom
"KD49","SOD-123","D_SOD-123",434.947600,-215.886400,90.000000,bottom
"KD50","SOD-123","D_SOD-123",453.996400,-215.886400,90.000000,bottom
"KD51","SOD-123","D_SOD-123",96.831400,-234.935200,90.000000,bottom
"KD52","SOD-123","D_SOD-123",127.785700,-234.935200,90.000000,bottom
"KD53","SOD-123","D_SOD-123",153.977800,-234.935200,90.000000,bottom
"KD54","SOD-123","D_SOD-123",173.026600,-234.935200,90.000000,bottom
"KD55","SOD-123","D_SOD-123",192.075400,-234.935200,90.000000,bottom
"KD56","SOD-123","D_SOD-123",211.124200,-234.935200,90.000000,bottom
"KD57","SOD-123","D_SOD-123",230.173000,-234.935200,90.000000,bottom
"KD58","SOD-123","D_SOD-123",249.221800,-234.935200,90.000000,bottom
"KD59","SOD-123","D_SOD-123",268.270600,-234.935200,90.000000,bottom
"KD60","SOD-123","D_SOD-123",287.319400,-234.935200,90.000000,bottom
"KD61","SOD-123","D_SOD-123",306.368200,-234.935200,90.000000,bottom
"KD62","SOD-123","D_SOD-123",325.417000,-234.935200,90.000000,bottom
"KD63","SOD-123","D_SOD-123",344.465800,-234.935200,90.000000,bottom
"KD64","SOD-123","D_SOD-123",375.420100,-234.935200,90.000000,bottom
"KD65","SOD-123","D_SOD-123",96.831400,-253.984000,90.000000,bottom
"KD66","SOD-123","D_SOD-123",132.547900,-253.984000,90.000000,bottom
"KD67","SOD-123","D_SOD-123",163.502200,-253.984000,90.000000,bottom
"KD68","SOD-123","D_SOD-123",182.551000,-253.984000,90.000000,bottom
"KD69","SOD-123","D_SOD-123",201.599800,-253.984000,90.000000,bottom
"KD70","SOD-123","D_SOD-123",220.648600,-253.984000,90.000000,bottom
"KD71","SOD-123","D_SOD-123",239.697400,-253.984000,90.000000,bottom
"KD72","SOD-123","D_SOD-123",258.746200,-253.984000,90.000000,bottom
"KD73","SOD-123","D_SOD-123",277.795000,-253.984000,90.000000,bottom
"KD74","SOD-123","D_SOD-123",296.843800,-253.984000,90.000000,bottom
"KD75","SOD-123","D_SOD-123",315.892600,-253.984000,90.000000,bottom
"KD76","SOD-123","D_SOD-123",334.941400,-253.984000,90.000000,bottom
"KD77","SOD-123","D_SOD-123",370.657900,-253.984000,90.000000,bottom
"KD78","SOD-123","D_SOD-123",434.947600,-253.984000,90.000000,bottom
"KD79","SOD-123","D_SOD-123",96.831400,-272.970200,90.000000,bottom
"KD80","SOD-123","D_SOD-123",123.023500,-273.032800,90.000000,bottom
"KD81","SOD-123","D_SOD-123",146.834500,-273.032800,90.000000,bottom
"KD82","SOD-123","D_SOD-123",170.645500,-273.032800,90.000000,bottom
"KD83","SOD-123","D_SOD-123",242.078500,-273.032800,90.000000,bottom
"KD84","SOD-123","D_SOD-123",313.511500,-273.032800,90.000000,bottom
"KD85","SOD-123","D_SOD-123",337.322500,-273.032800,90.000000,bottom
"KD86","SOD-123","D_SOD-123",361.133500,-273.032800,90.000000,bottom
"KD87","SOD-123","D_SOD-123",384.944500,-273.032800,90.000000,bottom
"KD88","SOD-123","D_SOD-123",415.898800,-273.032800,90.000000,bottom
"KD89","SOD-123","D_SOD-123",434.947600,-273.032800,90.000000,bottom
"KD90","SOD-123","D_SOD-123",453.996400,-273.032800,90.000000,bottom
"LC1","10uF","C_0805_2012Metric",119.055000,-174.614000,180.000000,bottom
"LC2","10uF","C_0805_2012Metric",157.152600,-174.614000,180.000000,bottom
"LC3","10uF","C_0805_2012Metric",176.201400,-174.614000,180.000000,bottom
"LC4","10uF","C_0805_2012Metric",195.250200,-174.614000,180.000000,bottom
"LC5","10uF","C_0805_2012Metric",214.299000,-174.614000,180.000000,bottom
"LC6","10uF","C_0805_2012Metric",242.872200,-174.614000,180.000000,bottom
"LC7","10uF","C_0805_2012Metric",261.921000,-174.614000,180.000000,bottom
"LC8","10uF","C_0805_2012Metric",280.969800,-174.614000,180.000000,bottom
"LC9","10uF","C_0805_2012Metric",300.018600,-174.614000,180.000000,bottom
"LC10","10uF","C_0805_2012Metric",328.591800,-174.614000,180.000000,bottom
"LC11","10uF","C_0805_2012Metric",347.640600,-174.614000,180.000000,bottom
"LC12","10uF","C_0805_2012Metric",366.689400,-174.614000,180.000000,bottom
"LC13","10uF","C_0805_2012Metric",385.738200,-174.614000,180.000000,bottom
"LC14","10uF","C_0805_2012Metric",414.311400,-174.614000,180.000000,bottom
