Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,4.7uF,C_0805_2012Metric,435.7413,-236.5226,0,bottom
C3,20pF,C_0805_2012Metric,414.3114,-257.1588,0,bottom
C4,1uF,C_0805_2012Metric,427.8043,-234.9352,270,bottom
C5,1uF,C_0805_2012Metric,434.1539,-178.97935,90,bottom
C6,100nF,C_0805_2012Metric,431.7728,-178.97935,90,bottom
C7,20pF,C_0805_2012Metric,404.6307,-257.1588,180,bottom
C10,1uF,C_0805_2012Metric,341.291,-246.047,180,bottom
C11,100nF,C_0805_2012Metric,341.291,-248.4281,180,bottom
C12,1uF,C_0805_2012Metric,385.7382,-251.99975,180,bottom
C13,100nF,C_0805_2012Metric,385.7382,-254.38085,180,bottom
C18,100nF,C_0805_2012Metric,413.5177,-252.3966,90,bottom
C19,100nF,C_0805_2012Metric,401.6122,-241.2848,270,bottom
C20,100nF,C_0805_2012Metric,415.1051,-239.025649,90,bottom
C21,10uF,C_0805_2012Metric,415.8988,-252.3966,90,bottom
C22,100nF,C_0805_2012Metric,415.8988,-248.4281,90,bottom
C23,10nF,C_0805_2012Metric,405.5807,-253.1903,90,bottom
C24,1uF,C_0805_2012Metric,403.2784,-253.1903,270,bottom
C43,1uF,C_0805_2012Metric,404.787,-234.9352,270,bottom
C44,1uF,C_0805_2012Metric,415.1051,-230.9667,0,bottom
D1,Green,LED_0805_2012Metric,396.0563,-234.9352,180,bottom
D2,Red,LED_0805_2012Metric,309.543,-167.4707,90,bottom
D3,SOD-123,D_SOD-123,96.0377,-174.614,270,bottom
D4,SOD-123,D_SOD-123,438.9161,-176.9951,0,bottom
D5,Red,LED_0805_2012Metric,401.6122,-233.3478,90,bottom
D11,Red,LED_0805_2012Metric,417.4862,-227.7919,270,bottom
F1,500mA,Fuse_1206_3216Metric,303.9871,-161.1211,270,bottom
F8,500mA,Fuse_1206_3216Metric,405.5807,-231.7604,0,bottom
FB1,60 @ 100 MHz,L_0805_2012Metric,304.7808,-165.8833,270,bottom
FB5,60 @ 100 MHz,L_0805_2012Metric,315.0989,-159.5337,180,bottom
FB15,60 @ 100 MHz,L_0805_2012Metric,406.3744,-229.3793,0,bottom
I1,IS31FL3731-QFLS2,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,426.2169,-180.9962,180,bottom
I2,IS31FL3731-QFLS2,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,342.8784,-253.1903,270,bottom
I3,IS31FL3731-QFLS2,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,387.72245,-259.93675,270,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST-SR-4,397.6437,-226.9982,90,bottom
KD1,SOD-123,D_SOD-123,120.6424,-168.2644,90,bottom
KD2,SOD-123,D_SOD-123,158.74,-168.2644,90,bottom
KD3,SOD-123,D_SOD-123,177.7888,-168.2644,90,bottom
KD4,SOD-123,D_SOD-123,196.8376,-168.2644,90,bottom
KD5,SOD-123,D_SOD-123,215.8864,-168.2644,90,bottom
KD6,SOD-123,D_SOD-123,244.4596,-168.2644,90,bottom
KD7,SOD-123,D_SOD-123,263.5084,-168.2644,90,bottom
KD8,SOD-123,D_SOD-123,282.5572,-168.2644,90,bottom
KD9,SOD-123,D_SOD-123,301.606,-168.2644,90,bottom
KD10,SOD-123,D_SOD-123,330.1792,-168.2644,90,bottom
KD11,SOD-123,D_SOD-123,349.228,-168.2644,90,bottom
KD12,SOD-123,D_SOD-123,368.2768,-168.2644,90,bottom
KD13,SOD-123,D_SOD-123,387.3256,-168.2644,90,bottom
KD14,SOD-123,D_SOD-123,415.8988,-168.2644,90,bottom
KD15,SOD-123,D_SOD-123,96.8314,-196.775,90,bottom
