Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20pF","C_0805_2012Metric",248.031250,-271.048550,0.000000,bottom
"C2","100uF","C_1206_3216Metric",304.780800,-167.470700,270.000000,bottom
"C3","20pF","C_0805_2012Metric",251.602900,-266.683200,0.000000,bottom
"C4","10pF","C_0805_2012Metric",255.174550,-275.810750,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",100.799900,-160.327400,180.000000,bottom
"C6","0.1uF","C_0805_2012Metric",96.037700,-160.327400,0.000000,bottom
"C7","0.1uF","C_0805_2012Metric",449.234200,-171.836050,90.000000,bottom
"C8","0.1uF","C_0805_2012Metric",449.234200,-167.073850,90.000000,bottom
"C9","10pF","C_0805_2012Metric",251.602900,-280.176100,180.000000,bottom
"C10","100uF","C_1206_3216Metric",446.059400,-179.376200,180.000000,bottom
"C11","100nF","C_0805_2012Metric",409.549200,-228.585600,270.000000,bottom
"C12","4.7uF","C_0805_2012Metric",411.930300,-228.585600,270.000000,bottom
"C13","100uF","C_1206_3216Metric",423.835800,-168.264400,270.000000,bottom
"C14","100nF","C_0805_2012Metric",404.787000,-232.554100,90.000000,bottom
"C15","4.7uF","C_0805_2012Metric",202.790350,-269.064300,270.000000,bottom
"C16","100nF","C_0805_2012Metric",273.032800,-267.873750,135.000000,bottom
"C17","100nF","C_0805_2012Metric",275.017050,-278.985550,45.000000,bottom
"C18","4.7uF","C_0805_2012Metric",261.127300,-282.160350,90.000000,bottom
"C19","100nF","C_0805_2012Metric",258.746200,-282.160350,270.000000,bottom
"C20","10nF","C_0805_2012Metric",260.333600,-265.095800,270.000000,bottom
"C21","1uF","C_0805_2012Metric",262.714700,-265.095800,90.000000,bottom
"C22","10uF","C_0805_2012Metric",201.996650,-273.032800,270.000000,bottom
"C23","100uF","C_1206_3216Metric",89.688100,-185.725800,0.000000,bottom
"C24","100nF","C_0805_2012Metric",403.993300,-229.379300,0.000000,bottom
"C25","100uF","C_1206_3216Metric",126.992000,-168.264400,270.000000,bottom
"C26","100nF","C_0805_2012Metric",403.993300,-226.998200,0.000000,bottom
"C27","100nF","C_0805_2012Metric",402.405900,-250.015500,270.000000,bottom
"C28","100nF","C_0805_2012Metric",400.024800,-250.015500,270.000000,bottom
"C29","100nF","C_0805_2012Metric",393.675200,-253.984000,180.000000,bottom
"C30","100nF","C_0805_2012Metric",397.643700,-250.015500,90.000000,bottom
"C31","100nF","C_0805_2012Metric",384.788200,-230.173000,0.000000,bottom
"C32","22pF","C_0805_2012Metric",350.815400,-235.332050,180.000000,bottom
"C33","22pF","C_0805_2012Metric",350.815400,-228.585600,0.000000,bottom
"C34","100uF","C_1206_3216Metric",445.265700,-250.809200,0.000000,bottom
"C35","100nF","C_0805_2012Metric",388.119300,-242.078500,0.000000,bottom
"C36","10uF","C_0805_2012Metric",415.105100,-234.141500,90.000000,bottom
"C37","10uF","C_0805_2012Metric",404.787000,-250.015500,90.000000,bottom
"C38","100nF","C_0805_2012Metric",388.119300,-244.459600,180.000000,bottom
"C39","100nF","C_0805_2012Metric",388.119300,-246.840700,180.000000,bottom
"C40","1uF","C_0805_2012Metric",214.299000,-281.366650,90.000000,bottom
"C41","1uF","C_0805_2012Metric",220.648600,-281.366650,270.000000,bottom
"C42","1uF","C_0805_2012Metric",403.993300,-254.777700,270.000000,bottom
"C43","1uF","C_0805_2012Metric",397.643700,-254.777700,90.000000,bottom
"D2","SOD-123","D_SOD-123",83.338500,-176.995100,180.000000,bottom
"D3","SOD-123","D_SOD-123",438.916100,-176.201400,90.000000,bottom
"D10","Red","LED_0805_2012Metric",400.818500,-240.491100,270.000000,bottom
"DRST1","1N4148","D_SOD-123",194.456500,-270.651700,180.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",230.966700,-155.565200,0.000000,bottom
"F2","500mA","Fuse_1206_3216Metric",304.383950,-163.502200,0.000000,bottom
"F3","500mA","Fuse_1206_3216Metric",450.027900,-178.582500,270.000000,bottom
"F4","500mA","Fuse_1206_3216Metric",420.661000,-168.264400,270.000000,bottom
"F5","500mA","Fuse_1206_3216Metric",84.925900,-186.519500,90.000000,bottom
"F6","500mA","Fuse_1206_3216Metric",124.214050,-168.264400,270.000000,bottom
"F7","500mA","Fuse_1206_3216Metric",445.265700,-247.634400,180.000000,bottom
"FB1","60 @ 100 MHz","L_0805_2012Metric",214.567800,-157.946300,0.000000,bottom
"FB2","60 @ 100 MHz","L_0805_2012Metric",300.018600,-157.946300,180.000000,bottom
"FB3","60 @ 100 MHz","L_0805_2012Metric",457.171200,-175.407700,90.000000,bottom
