Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_1206_3216Metric,241.2848,-179.3762,0,bottom
C2,22pF,C_0805_2012Metric,349.228,-235.33205,0,bottom
C3,20pF,C_0805_2012Metric,253.984,-276.2076,270,bottom
C4,100uF,C_1206_3216Metric,124.6109,-174.614,180,bottom
C5,22pF,C_0805_2012Metric,349.228,-228.5856,180,bottom
C6,100uF,C_1206_3216Metric,89.5757,-186.5195,0,bottom
C7,20pF,C_0805_2012Metric,253.984,-267.4769,90,bottom
C8,100nF,C_0805_2012Metric,89.6881,-170.6455,0,bottom
C9,100nF,C_0805_2012Metric,89.6881,-167.4707,180,bottom
C10,100nF,C_0805_2012Metric,449.2342,-171.83605,90,bottom
C11,100nF,C_0805_2012Metric,449.2342,-166.28015,90,bottom
C12,100uF,C_1206_3216Metric,442.8846,-247.6344,180,bottom
C13,100nF,C_0805_2012Metric,205.5683,-269.0643,270,bottom
C14,100nF,C_0805_2012Metric,408.7555,-228.5856,270,bottom
C15,4.7uF,C_0805_2012Metric,411.1366,-228.5856,270,bottom
C16,100nF,C_0805_2012Metric,406.3744,-232.5541,90,bottom
C17,100uF,C_1206_3216Metric,304.7808,-168.2644,270,bottom
C18,100nF,C_0805_2012Metric,259.5399,-277.795,270,bottom
C19,100nF,C_0805_2012Metric,273.0328,-267.87375,135,bottom
C20,100nF,C_0805_2012Metric,275.4139,-278.5887,0,bottom
C21,10uF,C_0805_2012Metric,261.921,-282.5572,270,bottom
C22,100nF,C_0805_2012Metric,259.5399,-282.5572,270,bottom
C23,10nF,C_0805_2012Metric,258.7462,-269.0643,0,bottom
C24,1uF,C_0805_2012Metric,258.7462,-266.6832,180,bottom
C25,100uF,C_1206_3216Metric,419.8673,-169.0581,270,bottom
C26,100nF,C_0805_2012Metric,406.3744,-228.5856,90,bottom
C27,100nF,C_0805_2012Metric,403.9933,-228.5856,90,bottom
C28,100nF,C_0805_2012Metric,400.0248,-250.0155,270,bottom
C29,100nF,C_0805_2012Metric,397.6437,-250.0155,270,bottom
C30,100uF,C_1206_3216Metric,445.2657,-178.5825,180,bottom
C31,100nF,C_0805_2012Metric,388.913,-246.8407,270,bottom
C32,100nF,C_0805_2012Metric,395.2626,-250.0155,90,bottom
C33,100nF,C_0805_2012Metric,387.3256,-226.9982,0,bottom
C34,100nF,C_0805_2012Metric,430.9791,-228.5856,90,bottom
C35,100nF,C_0805_2012Metric,436.535,-228.5856,180,bottom
C36,10uF,C_0805_2012Metric,413.5177,-232.5541,90,bottom
C37,10uF,C_0805_2012Metric,395.65945,-246.8407,0,bottom
C38,100nF,C_0805_2012Metric,387.3256,-229.3793,0,bottom
C39,100nF,C_0805_2012Metric,384.1508,-245.8907,270,bottom
C40,100nF,C_0805_2012Metric,386.5319,-246.8407,270,bottom
C41,100nF,C_0805_2012Metric,415.8988,-228.5856,90,bottom
C42,100nF,C_0805_2012Metric,421.4547,-228.5856,180,bottom
C43,1uF,C_0805_2012Metric,214.299,-282.16035,90,bottom
C44,1uF,C_0805_2012Metric,220.6486,-282.16035,270,bottom
D1,Red,LED_0805_2012Metric,77.7826,-193.6628,90,bottom
D2,Red,LED_0805_2012Metric,229.3793,-159.5337,270,bottom
D3,SOD-123,D_SOD-123,83.3385,-176.9951,180,bottom
D4,SOD-123,D_SOD-123,438.9161,-176.2014,90,bottom
D5,Red,LED_0805_2012Metric,127.7857,-165.8833,90,bottom
D6,Red,LED_0805_2012Metric,298.4312,-158.74,270,bottom
D7,Red,LED_0805_2012Metric,449.2342,-248.4281,270,bottom
D8,Red,LED_0805_2012Metric,423.0421,-165.0896,90,bottom
D9,Red,LED_0805_2012Metric,455.5838,-176.9951,270,bottom
D10,Red,LED_0805_2012Metric,400.8185,-240.4911,270,bottom
D11,Red,LED_0805_2012Metric,206.362,-281.7635,0,bottom
D12,Red,LED_0805_2012Metric,227.7919,-178.5825,90,bottom
F1,500mA,Fuse_1206_3216Metric,235.7289,-179.3762,0,bottom
F2,500mA,Fuse_1206_3216Metric,130.1668,-169.0581,270,bottom
F3,500mA,Fuse_1206_3216Metric,81.7511,-184.9321,180,bottom
F4,500mA,Fuse_1206_3216Metric,445.2657,-250.8092,180,bottom
F5,500mA,Fuse_1206_3216Metric,305.5745,-160.3274,90,bottom
F6,500mA,Fuse_1206_3216Metric,425.4232,-168.2644,270,bottom
F7,500mA,Fuse_1206_3216Metric,453.2027,-180.1699,0,bottom
F8,500mA,Fuse_1206_3216Metric,210.3305,-280.1761,90,bottom
FB1,60 @ 100 MHz,L_0805_2012Metric,125.4046,-165.8833,270,bottom
FB2,60 @ 100 MHz,L_0805_2012Metric,225.4108,-175.1389,90,bottom
FB3,60 @ 100 MHz,L_0805_2012Metric,81.7511,-187.3132,0,bottom
FB4,60 @ 100 MHz,L_0805_2012Metric,143.6597,-161.1211,180,bottom
FB5,60 @ 100 MHz,L_0805_2012Metric,215.8864,-158.74,90,bottom
FB6,60 @ 100 MHz,L_0805_2012Metric,446.8531,-247.6344,270,bottom
FB7,60 @ 100 MHz,L_0805_2012Metric,78.5763,-176.2014,0,bottom
FB8,60 @ 100 MHz,L_0805_2012Metric,303.1934,-160.3274,270,bottom
FB9,60 @ 100 MHz,L_0805_2012Metric,453.2027,-242.0785,270,bottom
FB10,60 @ 100 MHz,L_0805_2012Metric,420.661,-164.2959,270,bottom
FB11,60 @ 100 MHz,L_0805_2012Metric,313.5115,-158.74,270,bottom
FB12,60 @ 100 MHz,L_0805_2012Metric,438.9161,-160.3274,180,bottom
FB13,60 @ 100 MHz,L_0805_2012Metric,452.409,-176.2014,270,bottom
FB14,60 @ 100 MHz,L_0805_2012Metric,455.5838,-187.3132,180,bottom
FB15,60 @ 100 MHz,L_0805_2012Metric,210.3305,-268.2706,90,bottom
