Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20pF,C_0805_2012Metric,310.73355,-291.68475,0,bottom
C2,100uF,C_1206_3216Metric,364.3083,-188.1069,270,bottom
C3,20pF,C_0805_2012Metric,314.3052,-287.3194,0,bottom
C4,10pF,C_0805_2012Metric,317.87685,-296.44695,180,bottom
C5,0.1uF,C_0805_2012Metric,160.3274,-180.9636,180,bottom
C6,0.1uF,C_0805_2012Metric,155.5652,-180.9636,0,bottom
C7,0.1uF,C_0805_2012Metric,508.7617,-193.6628,0,bottom
C8,0.1uF,C_0805_2012Metric,508.7617,-186.5195,180,bottom
C9,10pF,C_0805_2012Metric,314.3052,-300.8123,180,bottom
C10,100uF,C_1206_3216Metric,504.7932,-199.2187,180,bottom
C11,100nF,C_0805_2012Metric,469.0767,-249.2218,270,bottom
C12,4.7uF,C_0805_2012Metric,471.4578,-249.2218,270,bottom
C13,100uF,C_1206_3216Metric,483.3633,-188.9006,270,bottom
C14,100nF,C_0805_2012Metric,464.3145,-253.1903,90,bottom
C15,4.7uF,C_0805_2012Metric,262.31785,-291.2879,270,bottom
C16,100nF,C_0805_2012Metric,335.7351,-288.50995,135,bottom
C17,100nF,C_0805_2012Metric,337.71935,-299.62175,45,bottom
C18,4.7uF,C_0805_2012Metric,323.8296,-303.9871,90,bottom
C19,100nF,C_0805_2012Metric,321.4485,-303.9871,270,bottom
C20,10nF,C_0805_2012Metric,323.0359,-285.732,270,bottom
C21,1uF,C_0805_2012Metric,325.417,-285.732,90,bottom
C22,10uF,C_0805_2012Metric,261.52415,-295.2564,270,bottom
C23,100uF,C_1206_3216Metric,146.8345,-210.3305,0,bottom
C24,100nF,C_0805_2012Metric,463.5208,-250.0155,0,bottom
C25,100uF,C_1206_3216Metric,188.1069,-188.50375,270,bottom
C26,100nF,C_0805_2012Metric,463.5208,-247.6344,0,bottom
C27,100nF,C_0805_2012Metric,461.9334,-270.6517,270,bottom
C28,100nF,C_0805_2012Metric,459.5523,-270.6517,270,bottom
C29,100nF,C_0805_2012Metric,453.2027,-274.6202,180,bottom
C30,100nF,C_0805_2012Metric,457.1712,-270.6517,90,bottom
C31,100nF,C_0805_2012Metric,447.6468,-250.0155,0,bottom
C32,22pF,C_0805_2012Metric,410.3429,-255.96825,180,bottom
C33,22pF,C_0805_2012Metric,410.3429,-249.2218,0,bottom
C34,100uF,C_1206_3216Metric,505.5869,-271.4454,0,bottom
C35,100nF,C_0805_2012Metric,447.6468,-262.7147,0,bottom
C36,10uF,C_0805_2012Metric,460.74285,-256.76195,0,bottom
C37,10uF,C_0805_2012Metric,464.3145,-270.6517,90,bottom
C38,100nF,C_0805_2012Metric,447.6468,-265.0958,180,bottom
C39,100nF,C_0805_2012Metric,447.6468,-267.4769,180,bottom
C40,1uF,C_0805_2012Metric,273.8265,-302.00285,90,bottom
C41,1uF,C_0805_2012Metric,280.1761,-302.00285,270,bottom
C42,1uF,C_0805_2012Metric,463.5208,-275.4139,270,bottom
C43,1uF,C_0805_2012Metric,457.1712,-275.4139,90,bottom
D2,SOD-123,D_SOD-123,142.0723,-196.0439,90,bottom
D3,SOD-123,D_SOD-123,498.4436,-196.8376,90,bottom
D10,Red,LED_0402_1005Metric,459.5523,-261.1273,270,bottom
DRST1,1N4148,D_SOD-123,255.96825,-292.8753,90,bottom
F1,500mA,Fuse_1206_3216Metric,290.4942,-176.2014,0,bottom
F2,500mA,Fuse_1206_3216Metric,363.91145,-184.1384,0,bottom
F3,500mA,Fuse_1206_3216Metric,508.7617,-196.8376,180,bottom
F4,500mA,Fuse_1206_3216Metric,480.1885,-187.9195,270,bottom
F5,500mA,Fuse_1206_3216Metric,142.0723,-211.52105,0,bottom
F6,500mA,Fuse_1206_3216Metric,185.7258,-188.1069,270,bottom
F7,500mA,Fuse_1206_3216Metric,505.5869,-268.2706,180,bottom
FB1,60 @ 100 MHz,L_0805_2012Metric,274.0953,-178.5825,0,bottom
FB2,60 @ 100 MHz,L_0805_2012Metric,359.5461,-178.5825,180,bottom
FB3,60 @ 100 MHz,L_0805_2012Metric,513.5239,-197.6313,90,bottom
FB4,60 @ 100 MHz,L_0805_2012Metric,477.0137,-177.7888,0,bottom
FB5,60 @ 100 MHz,L_0805_2012Metric,136.5164,-212.7116,270,bottom
FB6,60 @ 100 MHz,L_0805_2012Metric,181.7573,-177.7888,0,bottom
FB7,60 @ 100 MHz,L_0805_2012Metric,515.905,-265.0958,270,bottom
IC1,FE2.1,FE2.1,453.2027,-256.3651,180,bottom
J2,Conn_01x03_Male,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,279.77925,-294.4627,0,bottom
KD1,SOD-123,D_SOD-123,180.1699,-188.9006,90,bottom
KD2,SOD-123,D_SOD-123,218.2675,-188.9006,90,bottom
KD3,SOD-123,D_SOD-123,237.3163,-188.9006,90,bottom
KD4,SOD-123,D_SOD-123,256.3651,-188.9006,90,bottom
KD5,SOD-123,D_SOD-123,275.4139,-188.9006,90,bottom
KD6,SOD-123,D_SOD-123,303.9871,-188.9006,90,bottom
KD7,SOD-123,D_SOD-123,323.0359,-188.9006,90,bottom
KD8,SOD-123,D_SOD-123,342.0847,-188.9006,90,bottom
KD9,SOD-123,D_SOD-123,361.1335,-188.9006,90,bottom
KD10,SOD-123,D_SOD-123,389.7067,-188.9006,90,bottom
KD11,SOD-123,D_SOD-123,408.7555,-188.9006,90,bottom
KD12,SOD-123,D_SOD-123,427.8043,-188.9006,90,bottom
KD13,SOD-123,D_SOD-123,446.8531,-188.9006,90,bottom
KD14,SOD-123,D_SOD-123,475.4263,-188.9006,90,bottom
KD15,SOD-123,D_SOD-123,156.3589,-217.4112,90,bottom
KD16,SOD-123,D_SOD-123,180.1699,-217.4738,90,bottom
KD17,SOD-123,D_SOD-123,199.2187,-217.4738,90,bottom
KD18,SOD-123,D_SOD-123,218.2675,-217.4738,90,bottom
KD19,SOD-123,D_SOD-123,237.3163,-217.4738,90,bottom
KD20,SOD-123,D_SOD-123,256.3651,-217.4738,90,bottom
KD21,SOD-123,D_SOD-123,275.4139,-217.4738,90,bottom
KD22,SOD-123,D_SOD-123,294.4627,-217.4738,90,bottom
KD23,SOD-123,D_SOD-123,313.5115,-217.4738,90,bottom
KD24,SOD-123,D_SOD-123,332.5603,-217.4738,90,bottom
KD25,SOD-123,D_SOD-123,351.6091,-217.4738,90,bottom
KD26,SOD-123,D_SOD-123,370.6579,-217.4738,90,bottom
KD27,SOD-123,D_SOD-123,389.7067,-217.4738,90,bottom
KD28,SOD-123,D_SOD-123,408.7555,-217.4738,90,bottom
KD29,SOD-123,D_SOD-123,437.3287,-217.4738,90,bottom
KD30,SOD-123,D_SOD-123,475.4263,-217.4738,90,bottom
KD31,SOD-123,D_SOD-123,494.4751,-217.4738,90,bottom
KD32,SOD-123,D_SOD-123,513.5239,-217.4738,90,bottom
KD33,SOD-123,D_SOD-123,156.3589,-236.46,90,bottom
KD34,SOD-123,D_SOD-123,184.9321,-236.5226,90,bottom
KD35,SOD-123,D_SOD-123,208.7431,-236.5226,90,bottom
KD36,SOD-123,D_SOD-123,227.7919,-236.5226,90,bottom
KD37,SOD-123,D_SOD-123,246.8407,-236.5226,90,bottom
KD38,SOD-123,D_SOD-123,265.8895,-236.5226,90,bottom
KD39,SOD-123,D_SOD-123,284.9383,-236.5226,90,bottom
KD40,SOD-123,D_SOD-123,303.9871,-236.5226,90,bottom
KD41,SOD-123,D_SOD-123,323.0359,-236.5226,90,bottom
KD42,SOD-123,D_SOD-123,342.0847,-236.5226,90,bottom
KD43,SOD-123,D_SOD-123,361.1335,-236.5226,90,bottom
KD44,SOD-123,D_SOD-123,380.1823,-236.5226,90,bottom
KD45,SOD-123,D_SOD-123,399.2311,-236.5226,90,bottom
KD46,SOD-123,D_SOD-123,418.2799,-236.5226,90,bottom
KD47,SOD-123,D_SOD-123,442.0909,-236.5226,90,bottom
KD48,SOD-123,D_SOD-123,475.4263,-236.5226,90,bottom
KD49,SOD-123,D_SOD-123,494.4751,-236.5226,90,bottom
KD50,SOD-123,D_SOD-123,515.1113,-232.5541,90,bottom
KD51,SOD-123,D_SOD-123,156.3589,-255.5714,90,bottom
KD52,SOD-123,D_SOD-123,187.3132,-255.5714,90,bottom
KD53,SOD-123,D_SOD-123,213.5053,-255.5714,90,bottom
KD54,SOD-123,D_SOD-123,232.5541,-255.5714,90,bottom
KD55,SOD-123,D_SOD-123,251.6029,-255.5714,90,bottom
KD56,SOD-123,D_SOD-123,270.6517,-255.5714,90,bottom
KD57,SOD-123,D_SOD-123,289.7005,-255.5714,90,bottom
KD58,SOD-123,D_SOD-123,308.7493,-255.5714,90,bottom
KD59,SOD-123,D_SOD-123,327.7981,-255.5714,90,bottom
KD60,SOD-123,D_SOD-123,346.8469,-255.5714,90,bottom
KD61,SOD-123,D_SOD-123,365.8957,-255.5714,90,bottom
KD62,SOD-123,D_SOD-123,384.9445,-255.5714,90,bottom
KD63,SOD-123,D_SOD-123,403.9933,-255.5714,90,bottom
