Ref,Val,Package,PosX,PosY,Rot,Side
"C2","4.7uF","C_0805_2012Metric",-377.007500,-165.883300,0.000000,bottom
"C3","20pF","C_0805_2012Metric",-355.577600,-188.900600,90.000000,bottom
"C4","1uF","C_0805_2012Metric",-369.070500,-164.295900,-90.000000,bottom
"C7","20pF","C_0805_2012Metric",-346.053200,-188.900600,-90.000000,bottom
"C18","100nF","C_0805_2012Metric",-354.783900,-181.757300,90.000000,bottom
"C19","100nF","C_0805_2012Metric",-342.878400,-170.645500,-90.000000,bottom
"C20","100nF","C_0805_2012Metric",-354.783900,-167.470700,180.000000,bottom
"C21","10uF","C_0805_2012Metric",-357.165000,-181.757300,90.000000,bottom
"C22","100nF","C_0805_2012Metric",-357.583125,-177.794488,0.000000,bottom
"C23","10nF","C_0805_2012Metric",-346.846900,-182.551000,90.000000,bottom
"C24","1uF","C_0805_2012Metric",-344.544600,-182.551000,-90.000000,bottom
"C43","1uF","C_0805_2012Metric",-357.165000,-161.914800,180.000000,bottom
"C44","1uF","C_0805_2012Metric",-353.990200,-158.740000,-90.000000,bottom
"D1","Green","LED_0805_2012Metric",-327.004400,-184.138400,90.000000,bottom
"D2","Red","LED_0805_2012Metric",-251.617500,-95.244500,180.000000,bottom
"D3","SOD-123","D_SOD-123",-37.303900,-103.974700,90.000000,bottom
"D4","SOD-123","D_SOD-123",-380.182300,-106.355800,0.000000,bottom
"D5","Red","LED_0805_2012Metric",-343.672100,-163.502200,90.000000,bottom
"D11","Red","LED_0805_2012Metric",-353.990200,-155.049550,-90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-246.443850,-93.656600,0.000000,bottom
"F8","500mA","Fuse_1206_3216Metric",-346.053200,-162.708500,-90.000000,bottom
"FB1","60 @ 100 MHz","L_0805_2012Metric",-246.840700,-96.037700,180.000000,bottom
"FB5","60 @ 100 MHz","L_0805_2012Metric",-255.586250,-89.688250,90.000000,bottom
"FB15","60 @ 100 MHz","L_0805_2012Metric",-348.434300,-163.502200,90.000000,bottom
"J1","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",-361.133500,-163.502200,180.000000,bottom
"J2","SM04B-SRSS-TB(LF)(SN)","JST-SR-4",-338.909900,-156.358900,90.000000,bottom
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",-337.466400,-184.138388,90.000000,bottom
"KD1","SOD-123","D_SOD-123",-61.908600,-97.625100,90.000000,bottom
"KD2","SOD-123","D_SOD-123",-100.006200,-97.625100,90.000000,bottom
"KD3","SOD-123","D_SOD-123",-119.055000,-97.625100,90.000000,bottom
"KD4","SOD-123","D_SOD-123",-138.103800,-97.625100,90.000000,bottom
"KD5","SOD-123","D_SOD-123",-157.152600,-97.625100,90.000000,bottom
"KD6","SOD-123","D_SOD-123",-185.725800,-97.625100,90.000000,bottom
"KD7","SOD-123","D_SOD-123",-204.774600,-97.625100,90.000000,bottom
"KD8","SOD-123","D_SOD-123",-223.823400,-97.625100,90.000000,bottom
"KD9","SOD-123","D_SOD-123",-242.872200,-97.625100,90.000000,bottom
"KD10","SOD-123","D_SOD-123",-271.445400,-97.625100,90.000000,bottom
"KD11","SOD-123","D_SOD-123",-290.494200,-97.625100,90.000000,bottom
"KD12","SOD-123","D_SOD-123",-309.543000,-97.625100,90.000000,bottom
