Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,4.7uF,C_0805_2012Metric,377.0075,-165.8833,0,bottom
C3,20pF,C_0805_2012Metric,355.5776,-188.9006,90,bottom
C4,1uF,C_0805_2012Metric,369.0705,-164.2959,-90,bottom
C7,20pF,C_0805_2012Metric,346.0532,-188.9006,-90,bottom
C18,100nF,C_0805_2012Metric,354.7839,-181.7573,90,bottom
C19,100nF,C_0805_2012Metric,342.8784,-170.6455,-90,bottom
C20,100nF,C_0805_2012Metric,354.7839,-167.4707,180,bottom
C21,10uF,C_0805_2012Metric,357.165,-181.7573,90,bottom
C22,100nF,C_0805_2012Metric,357.583125,-177.794488,0,bottom
C23,10nF,C_0805_2012Metric,346.8469,-182.551,90,bottom
C24,1uF,C_0805_2012Metric,344.5446,-182.551,-90,bottom
C43,1uF,C_0805_2012Metric,357.165,-161.9148,180,bottom
C44,1uF,C_0805_2012Metric,353.9902,-158.74,-90,bottom
D1,Green,LED_0805_2012Metric,327.0044,-184.1384,90,bottom
D2,Red,LED_0805_2012Metric,251.6175,-95.2445,180,bottom
D3,SOD-123,D_SOD-123,37.3039,-103.9747,90,bottom
D4,SOD-123,D_SOD-123,377.8012,-106.3558,90,bottom
D5,Red,LED_0805_2012Metric,343.6721,-163.5022,90,bottom
D6,SOD-123,D_SOD-123,380.976,-183.3447,90,bottom
D11,Red,LED_0805_2012Metric,353.9902,-155.04955,-90,bottom
F1,500mA,Fuse_1206_3216Metric,246.44385,-93.6566,0,bottom
F8,500mA,Fuse_1206_3216Metric,346.0532,-162.7085,-90,bottom
FB1,60 @ 100 MHz,L_0805_2012Metric,246.8407,-96.0377,180,bottom
FB5,60 @ 100 MHz,L_0805_2012Metric,255.58625,-89.68825,90,bottom
FB15,60 @ 100 MHz,L_0805_2012Metric,348.4343,-163.5022,90,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST-SR-4,338.9099,-156.3589,90,bottom
KD1,SOD-123,D_SOD-123,61.9086,-97.6251,90,bottom
KD1-1,SOD-123,D_SOD-123,80.9574,-97.6251,90,bottom
KD2,SOD-123,D_SOD-123,100.0062,-97.6251,90,bottom
KD3,SOD-123,D_SOD-123,119.055,-97.6251,90,bottom
KD4,SOD-123,D_SOD-123,138.1038,-97.6251,90,bottom
KD5,SOD-123,D_SOD-123,157.1526,-97.6251,90,bottom
KD6,SOD-123,D_SOD-123,185.7258,-97.6251,90,bottom
KD7,SOD-123,D_SOD-123,204.7746,-97.6251,90,bottom
KD8,SOD-123,D_SOD-123,223.8234,-97.6251,90,bottom
KD9,SOD-123,D_SOD-123,242.8722,-97.6251,90,bottom
KD10,SOD-123,D_SOD-123,271.4454,-97.6251,90,bottom
KD11,SOD-123,D_SOD-123,290.4942,-97.6251,90,bottom
KD12,SOD-123,D_SOD-123,309.543,-97.6251,90,bottom
KD13,SOD-123,D_SOD-123,328.5918,-97.6251,90,bottom
KD14,SOD-123,D_SOD-123,357.165,-97.6251,90,bottom
KD14-1,SOD-123,D_SOD-123,376.2138,-97.6251,90,bottom
KD15,SOD-123,D_SOD-123,38.0976,-126.1357,90,bottom
KD16,SOD-123,D_SOD-123,61.9086,-126.1983,90,bottom
